SEQC_NB001	SEQC_NB002	SEQC_NB003	SEQC_NB004	SEQC_NB005	SEQC_NB006
UKv4_A_23_P129174	1.322920136	1.018365253	1.398434342	1.335611702	1.12025511
UKv4_A_23_P70991	0.905188602	1.149056437	1.166102171	1.111233374	1.238091883
UKv4_A_23_P90925	-0.328190119	-0.245096898	-0.474931823	-0.603980827	-0.708571611
UKv4_A_23_P52336	1.082253078	0.898964146	1.248337731	1.588602032	1.565972705
UKv4_A_24_P349151	-0.098709445	-0.249886627	-0.292074705	-0.068484629	0.060607927
UKv4_A_32_P196843	-1.963000216	-1.582115605	-1.61519806	-1.564440544	-1.806515745
UKv4_A_23_P35534	0.910621989	0.907517234	1.158413481	1.270858225	0.881341052
UKv4_A_23_P41599	0.055662652	0.050839945	0.037536116	0.435387778	-0.156506328
UKv4_A_23_P2041	-1.202645725	-1.446634692	-1.451395522	-0.805469554	-0.761008975
UKv4_A_32_P4403	0.928520203	1.100817021	0.84384575	0.985641746	0.917281268
UKv4_A_23_P121602	1.493592393	1.329697655	1.616726295	1.372656715	1.430755007
UKv4_A_23_P134139	-1.353502102	-0.76854588	-0.782145154	-1.07713298	-0.983720476
UKv4_A_23_P119222	-1.071605229	-0.819864408	-0.85535486	-0.447367766	-0.477316943
UKv4_A_23_P18993	-0.615520379	-0.223200993	-0.243936816	-0.446464229	-0.504419401
UKv4_A_23_P42897	-1.044118686	-0.639565314	-0.564856073	-1.213567051	-1.042049679
UKv4_A_23_P92562	-1.946060834	-2.259862294	-2.016012841	-1.865619509	-1.955579264
UKv4_A_23_P329335	-0.263628704	-0.13151189	-0.108883295	-0.10010842	0.004635459
UKv4_A_23_P78037	-1.929760675	-1.672778337	-1.678379039	-1.845741697	-1.178151152
UKv4_A_23_P165380	-0.413845859	0.311880189	0.159218001	0.055299925	-0.046623537
UKv4_A_24_P37253	0.578226583	0.076157085	-0.253296961	0.389006218	-0.32442373
UKv4_A_24_P85881	-0.299744743	-0.179067059	-0.113229077	-0.35611054	-0.397187937
UKv4_A_23_P156880	-0.105101664	-0.407947692	-0.083811478	0.431773631	-0.042793842
UKv4_A_23_P129935	1.311414141	1.145293078	1.185825334	1.364223704	1.384504074
UKv4_A_23_P428329	-1.150549138	-1.019664542	-0.939930456	-1.337050426	-1.214975144
UKv4_A_23_P109229	-0.697340786	-0.515374477	-0.621351234	-0.774146942	-0.800778886
UKv4_A_23_P12620	0.438876201	0.414859368	0.393555917	0.504960119	0.405869672
UKv4_A_32_P85999	0.260533282	-0.149644436	0.532286638	0.49291296	0.43444509
UKv4_A_23_P126218	-0.877281761	-0.608774197	-0.70191534	-0.551274509	-0.555383806
